Subject,Course,Course Code,Points,Level,College,
Information and Communication Technologies (ICTs),Multimedia Applications Development,WD153,195,7,Waterford Institute of Technology,
Information and Communication Technologies (ICTs),Information Technology,WD155,195,7,Waterford Institute of Technology,
Business and administration,Business,WD159,191,7,Waterford Institute of Technology,
Information and Communication Technologies (ICTs),Computer Forensics and Security,WD161,270,8,Waterford Institute of Technology,
Architecture and construction,Quantity Surveying,WD162,226,8,Waterford Institute of Technology,
Social and behavioural sciences,Psychology,WD163,456,8,Waterford Institute of Technology,
Biological and related sciences,Food Science with Business,WD164,328,7,Waterford Institute of Technology,
Personal services,Culinary Arts,WD172,329,6,Waterford Institute of Technology,
Personal services,Hospitality Studies,WD173,158,6,Waterford Institute of Technology,
Personal services,Tourism,WD174,320,6,Waterford Institute of Technology,
Physical sciences,Pharmaceutical Science,WD175,224,7,Waterford Institute of Technology,
Biological and related sciences,Science (Mol. Biology with Biopharm.,Food Science with Business,455,7,Waterford Institute of Technology,v
Engineering and engineering trades,Electrical Engineering,WD182,363,7,Waterford Institute of Technology,
Business and administration,Retail Management,WD184,190,7,Waterford Institute of Technology,
Personal services,Sports Coaching and Performance,WD186,261,8,Waterford Institute of Technology,
Welfare,Social Science,WD187,276,8,Waterford Institute of Technology,
Health,Applied Health Care,WD188,220,7,Waterford Institute of Technology,
Agriculture,Agricultural Science,WD191,377,8,Waterford Institute of Technology,
Welfare,Social Care Practice,WD192,271,8,Waterford Institute of Technology,
Business and administration,Marketing and Digital Media,WD193,279,8,Waterford Institute of Technology,
Personal services,Culinary Arts,WD194,237,8,Waterford Institute of Technology,
Architecture and construction,Architectural and Building Information Modelling Technology,WD195,279,8,Waterford Institute of Technology,
Arts,Arts (options),WD200,201,8,Waterford Institute of Technology,
Biological and related sciences,Molecular Biology with Biopharmaceutical Science,WD205,434,7,Waterford Institute of Technology,
Engineering and engineering trades,Electronic Engineering,WD206,180,7,Waterford Institute of Technology,
Engineering and engineering trades,Mechanical Engineering,WD207,172,7,Waterford Institute of Technology,
Engineering and engineering trades,Manufacturing Engineering,WD208,317,7,Waterford Institute of Technology,
Information and Communication Technologies (ICTs),Software Systems Development,WD210,260,8,Waterford Institute of Technology,
Information and Communication Technologies (ICTs),Creative Computing,WD211,270,8,Waterford Institute of Technology,
Personal services,Recreation and Sport Management,WD212,262,8,Waterford Institute of Technology,
Engineering and engineering trades,Mechanical and Manufacturing Engineering,WD230,230,8,Waterford Institute of Technology,
Welfare,Early Childhood Care and Education,WD231,266,8,Waterford Institute of Technology,
Business and administration,Business Information Systems,WD232,261,8,Waterford Institute of Technology,
